Sr. No,Symbol,Series,Security Name,From,To
1,AGNI,SM,AGNI GREEN POWER LIMITED,10,20
2,AIRAN,EQ,AIRAN LIMITED,10,20
3,AKI,EQ,AKI INDIA LIMITED,10,20
4,ARENTERP,EQ,RAJDARSHAN INDUSTRIES LIMITED,10,20
5,ARTNIRMAN,EQ,ART NIRMAN LIMITED,10,20
6,ASIANENE,EQ,ASIAN ENERGY SERVICES LIMITED,10,20
7,BAGFILMS,EQ,B.A.G FILMS AND MEDIA LIMITED,10,20
8,BHAGCHEM,EQ,BHAGIRADHA CHEMICALS & INDUSTRIES LIMITED,10,20
9,BIKAJI,EQ,BIKAJI FOODS INTERNATIONAL LIMITED,10,20
10,BLBLIMITED,EQ,BLB LIMITED,10,20
11,BLUEPEBBLE,SM,BLUE PEBBLE LIMITED,10,20
12,BMETRICS,SM,BOMBAY METRICS SUPPLY CHAIN LIMITED,10,20
13,BRNL,EQ,BHARAT ROAD NETWORK LIMITED,10,20
14,CGRAPHICS,SM,CREATIVE GRAPHICS SOLUTIONS INDIA LIMITED,10,20
15,CHEMFAB,EQ,CHEMFAB ALKALIS LIMITED,10,20
16,CUBEXTUB,EQ,CUBEX TUBINGS LIMITED,10,20
17,DHANI,EQ,DHANI SERVICES LIMITED,10,20
18,DKEGL,SM,D.K. ENTERPRISES GLOBAL LIMITED,10,20
19,DYCL,EQ,DYNAMIC CABLES LIMITED,10,20
20,EIMCOELECO,EQ,EIMCO ELECON (INDIA) LIMITED,10,20
21,ELGIRUBCO,EQ,ELGI RUBBER COMPANY LIMITED,10,20
22,GENCON,EQ,GENERIC ENGINEERING CONSTRUCTION AND PROJECTS LIMITED,10,20
23,GICL,SM,GLOBE INTERNATIONAL CARRIERS LIMITED,10,20
24,GLS,EQ,GLENMARK LIFE SCIENCES LIMITED,10,20
25,GOLDIAM,EQ,GOLDIAM INTERNATIONAL LIMITED,10,20
26,GPECO,ST,GP ECO SOLUTIONS INDIA LIMITED,10,5
27,GSS,EQ,GSS INFOTECH LIMITED,10,20
28,HINDZINC,EQ,HINDUSTAN ZINC LIMITED,10,20
29,HONASA,EQ,HONASA CONSUMER LIMITED,10,20
30,HPIL,EQ,HINDPRAKASH INDUSTRIES LIMITED,10,20
31,HPL,EQ,HPL ELECTRIC & POWER LIMITED,10,20
32,HUHTAMAKI,EQ,HUHTAMAKI INDIA LIMITED,10,20
33,IFBIND,EQ,IFB INDUSTRIES LIMITED,10,20
34,INDSWFTLTD,EQ,IND-SWIFT LIMITED,10,20
35,ITI,EQ,ITI LIMITED,10,20
36,JSLL,SM,JEENA SIKHO LIFECARE LIMITED,10,20
37,JYOTICNC,EQ,JYOTI CNC AUTOMATION LIMITED,10,20
38,KODYTECH,SM,KODY TECHNOLAB LIMITED,10,20
39,KRIDHANINF,EQ,KRIDHAN INFRA LIMITED,10,20
40,LGHL,EQ,LAXMI GOLDORNA HOUSE LIMITED,10,20
41,LPDC,EQ,LANDMARK PROPERTY DEVELOPMENT COMPANY LIMITED,10,20
