Symbol,Series,Name,Band,Remarks
ACSAL,ST,Arvind and Company Shipping Agencies Limited,2,"-"
AHIMSA,ST,Ahimsa Industries Limited,2,"-"
AILIMITED,ST,Abhishek Integrations Limited,2,"-"
AIMTRON,ST,Aimtron Electronics Limited,2,"-"
AISL,ST,ANI Integrated Services Limited,2,"-"
AMEYA,ST,Ameya Precision Engineers Limited,2,"-"
ATMASTCO,ST,Atmastco Limited,2,"-"
AVPINFRA,ST,AVP Infracon Limited,2,"-"
BASILIC,ST,Basilic Fly Studio Limited,2,"-"
CLOUD,ST,Varanium Cloud Limited,2,"-"
CPS,ST,C P S Shapers Limited,2,"-"
DESTINY,ST,Destiny Logistics & Infra Limited,2,"-"
DHTL,ST,Docmode Health Technologies Limited,2,"-"
DRSDILIP,ST,DRS Dilip Roadlines Limited,2,"-"
DYNAMIC,ST,Dynamic Services & Security Limited,2,"-"
ESCONET,ST,Esconet Technologies Limited,2,"-"
FELIX,ST,Felix Industries Limited,2,"-"
GAJANAND,ST,Gajanand International Limited,2,"-"
GRCL,ST,Gayatri Rubbers And Chemicals Limited,2,"-"
GRETEX,ST,Gretex Industries Limited,2,"-"
GSMFOILS,ST,GSM Foils Limited,2,"-"
ISHAN,ST,Ishan International Limited,2,"-"
JFLLIFE,ST,Jfl Life Sciences Limited,2,"-"
KDL,ST,Kore Digital Limited,2,"-"
KONTOR,ST,Kontor Space Limited,2,"-"
KRISHNADEF,ST,Krishna Defence And Allied Industries Limited,2,"-"
MASTER,ST,Master Components Limited,2,"-"
MEDIORG,ST,MEDICAMEN ORGANICS LIMITED,2,"-"
NEPHROCARE,ST,Nephro Care India Limited,2,"-"
NIRMAN,ST,Nirman Agri Genetics Limited,2,"-"
POSITRON,ST,Positron Energy Limited,2,"-"
PRITIKA,ST,Pritika Engineering Components Limited,2,"-"
REFRACTORY,ST,Refractory Shapes Limited,2,"-"
RILINFRA,ST,Rachana Infrastructure Limited,2,"-"
RMDRIP,ST,R M Drip and Sprinklers Systems Limited,2,"-"
SABAR,ST,Sabar Flex India Limited,2,"-"
SANGANI,ST,Sangani Hospitals Limited,2,"-"
SATECH,ST,S A Tech Software India Limited,2,"-"
SJLOGISTIC,ST,S J Logistics (India) Limited,2,"-"
SLONE,ST,Slone Infosystems Limited,2,"-"
SPECTSTM,ST,Spectrum Talent Management Limited,2,"-"
SSEGL,ST,Sathlokhar Synergys E&C Global Limited,2,"-"
SSFL,ST,Srivari Spices And Foods Limited,2,"-"
SURANI,ST,Surani Steel Tubes Limited,2,"-"
